Model,RMSE,MAE,R2
LSTM,7.084966561352852,5.50261967356612,0.9311651642481111
CNN,15.187422930981203,12.543280283610025,0.6836987960736631
Bi-LSTM,5.519621197041717,4.300251875466447,0.9582216563057472
